DQ_Check,Issue,Type,Guidance
dq_aps_with_ees,Access Point with Entry Exits,High Priority,"Access Points should only be entering Referrals and Diversion Services into the AP provider- not Entry Exits. If a user has done this, the Entry Exit should be deleted. Please see the <a href='http://hmis.cohhio.org/index.php?pg=kb.page&id=151' target='_blank'>Coordinated Entry workflow</a>."
dq_check_disability_ssi,Client with No Disability Receiving SSI/SSDI (could be ok),Warning,"If a client is receiving SSI or SSDI for THEIR OWN disability, that disability should be indicated in the Disabilities data elements. If an adult is receiving SSI or SSDI benefits on behalf a minor child, then there is no action needed."
dq_check_eligibility,Check Eligibility,Warning,"Your Residence Prior data suggests that this project is either serving ineligible households, the household was entered into the wrong project, or the Residence Prior data at Entry is incorrect. Please check the terms of your grant or speak with your CoC Team Coordinator if you are unsure of eligibility criteria for your project type."
dq_conflicting_hi_ee,Conflicting Health Insurance yes/no at Entry,Error,"If the user answered 'Yes' to 'Covered by Health Insurance?', then there should be a Health Insurance subassessment where it indicates which type of health insurance the client is receiving. Similarly if the user answered 'No', there should not be any Health Insurance records that say the client is receiving that type of Health Insurance."
dq_conflicting_hi_ee,Conflicting Health Insurance yes/no at Exit,Error,"If the user answered 'Yes' to 'Covered by Health Insurance?', then there should be a Health Insurance subassessment where it indicates which type of health insurance the client is receiving. Similarly if the user answered 'No', there should not be any Health Insurance records that say the client is receiving that type of Health Insurance."
dq_conflicting_income,Conflicting Income yes/no at Entry,Error,"If the user answered 'Yes' to 'Income from any source', then there should be an income subassessment where it indicates which type of income the client is receiving. Similarly if the user answered 'No', there should not be any income records that say the client is receiving that type of income."
dq_conflicting_income,Conflicting Income yes/no at Exit,Error,"If the user answered 'Yes' to 'Income from any source', then there should be an income subassessment where it indicates which type of income the client is receiving. Similarly if the user answered 'No', there should not be any income records that say the client is receiving that type of income."
dq_conflicting_unlikely_ncbs,Client has ALL SIX Non-cash Benefits at Entry,Warning,"This client has every single Non-Cash Benefit, according to HMIS, which is highly unlikely. Please correct (unless it's actually true)."
dq_conflicting_unlikely_ncbs,Conflicting Non-cash Benefits yes/no at Entry,Error,"If the user answered 'Yes' to 'Non-cash benefits from any source', then there should be a Non-cash benefits subassessment where it indicates which type of income the client is receiving. Similarly if the user answered 'No', then there should not be any non-cash records that say the client is receiving that type of benefit"
dq_conflicting_unlikely_ncbs,Conflicting Non-cash Benefits yes/no at Exit,Error,"If the user answered 'Yes' to 'Non-cash benefits from any source', then there should be a Non-cash benefits subassessment where it indicates which type of income the client is receiving. Similarly if the user answered 'No', then there should not be any non-cash records that say the client is receiving that type of benefit"
dq_detail_missing_disabilities,Missing Disabling Condition,Error,This data element is required to be collected at project Entry. Please click into the client's Entry pencil to save this data to HMIS.
dq_detail_missing_disabilities,Conflicting Disability of Long Duration yes/no,Error,"If the user answered 'Yes' to the 'Does the client have a disabling condition?', then there should be a disability subassessment that indicates the disability determination is Yes *and* the 'If yes,... long duration' question is Yes. Similarly if the user answered 'No', the client should not have any disability subassessments that indicate that they do have a Disabling Condition."
dq_dkr_destination,Don't Know/Refused Destination,Warning,"It is widely understood that not every client will be able to or consent to answer every question in every assessment. If you do have any of this data, but it is just not entered into HMIS yet, please enter it. If you can reasonably attempt again to collect this data from the client (like if they are still in your project), then please do so. Otherwise, there is no action needed."
dq_dkr_living_situation,Don't Know/Refused Living Situation,Warning,"It is widely understood that not every client will be able to or consent to answer every question in every assessment. If you do have any of this data, but it is just not entered into HMIS yet, please enter it. If you can reasonably attempt again to collect this data from the client (like if they are still in your project), then please do so. Otherwise, there is no action needed."
dq_dkr_LoS,Don't Know/Refused Residence Prior,Warning,"It is widely understood that not every client will be able to or consent to answer every question in every assessment. If you do have any of this data, but it is just not entered into HMIS yet, please enter it. If you can reasonably attempt again to collect this data from the client (like if they are still in your project), then please do so. Otherwise, there is no action needed."
dq_dkr_months_times_homeless,Don't Know/Refused Months or Times Homeless,Warning,"It is widely understood that not every client will be able to or consent to answer every question in every assessment. If you do have any of this data, but it is just not entered into HMIS yet, please enter it. If you can reasonably attempt again to collect this data from the client (like if they are still in your project), then please do so. Otherwise, there is no action needed."
dq_dkr_residence_prior,Don't Know/Refused Residence Prior,Warning,"It is widely understood that not every client will be able to or consent to answer every question in every assessment. If you do have any of this data, but it is just not entered into HMIS yet, please enter it. If you can reasonably attempt again to collect this data from the client (like if they are still in your project), then please do so. Otherwise, there is no action needed."
dq_dob,"dplyr::case_when(is.na(DOB) & DOBDataQuality %in% c(1, 2) ~
  ""Missing DOB"", DOBDataQuality == 99 ~
  ""Missing Date of Birth Data Quality"", DOBDataQuality %in% c(2, 8, 9) ~
  ""Don't Know/Refused or Approx. Date of Birth"", AgeAtEntry < 0 |
  AgeAtEntry > 95 ~ ""Incorrect Date of Birth or Entry Date"")","dplyr::case_when(Issue %in% c(""Missing DOB"",
  ""Incorrect Date of Birth or Entry Date"",
  ""Missing Date of Birth Data Quality"") ~ ""Error"", Issue ==
  ""Don't Know/Refused or Approx. Date of Birth"" ~ ""Warning"")","dplyr::case_when(Issue == ""Incorrect Date of Birth or Entry Date"" ~
  ""The HMIS data is indicating the client entered the project PRIOR to\n      being born. Correct either the Date of Birth or the Entry Date, whichever\n      is incorrect."",
Issue %in% c(""Missing DOB"", ""Missing Date of Birth Data Quality"") ~
  guidance$missing_at_entry, Issue ==
  ""Don't Know/Refused or Approx. Date of Birth"" ~ guidance$dkr_data)"
