Geocode,County
390042,Summit
390066,Stark
390294,Summit
390600,Wood
390858,Stark
391062,Hamilton
391104,Cuyahoga
391110,Cuyahoga
391176,Franklin
391320,Cuyahoga
391362,Montgomery
391500,Cuyahoga
391602,Lorain
391626,Cuyahoga
391638,Greene
392118,Butler
392508,Portage
392526,Montgomery
392628,Cuyahoga
392634,Fairfield
392730,Allen
392820,Lorain
393012,Richland
393054,Washington
393114,Stark
393168,Lake
393222,Butler
393558,Licking
394098,Cuyahoga
394680,Sandusky
394998,Clark
395016,Jefferson
395214,Lucas
395874,Mahoning
399001,Adams County
399003,Allen County
399005,Ashland County
399007,Ashtabula County
399009,Athens County
399011,Auglaize County
399013,Belmont County
399015,Brown County
399017,Butler County
399019,Carroll County
399021,Champaign County
399023,Clark County
399025,Clermont County
399027,Clinton County
399029,Columbiana County
399031,Coshocton County
399033,Crawford County
399035,Cuyahoga County
399037,Darke County
399039,Defiance County
399041,Delaware County
399043,Erie County
399045,Fairfield County
399047,Fayette County
399049,Franklin County
399051,Fulton County
399053,Gallia County
399055,Geauga County
399057,Greene County
399059,Guernsey County
399061,Hamilton County
399063,Hancock County
399065,Hardin County
399067,Harrison County
399069,Henry County
399071,Highland County
399073,Hocking County
399075,Holmes County
399077,Huron County
399079,Jackon County
399081,Jefferson County
399083,Knox County
399085,Lake County
399087,Lawrence County
399089,Licking County
399091,Logan County
399093,Lorain County
399095,Lucas County
399097,Madison County
399099,Mahoning County
399101,Marion County
399103,Medina County
399105,Meigs County
399107,Mercer County
399109,Miami County
399111,Monroe County
399113,Montgomery County
399115,Morgan County
399117,Morrow County
399119,Muskingum County
399121,Noble County
399123,Ottawa County
399125,Paulding County
399127,Perry County
399129,Pickaway County
399131,Pike County
399133,Portage County
399135,Preble County
399137,Putnam County
399139,Richland County
399141,Ross County
399143,Sandusky County
399145,Scioto County
399147,Seneca County
399149,Shelby County
399151,Stark County
399153,Summit County
399155,Trumbull County
399157,Tuscarawas County
399159,Union County
399161,Van Wert County
399163,Vinton County
399165,Warren County
399167,Washington County
399169,Wayne County
399171,Williams County
399173,Wood County
399175,Wyandot County
